County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
DUVAL,443.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
EASTLAND,478.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
ECTOR,4939.0,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,1.356549908888439
EL PASO,38033.0,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,0.8992190992033234
ELLIS,7393.0,222.0,131.0,258.0,298.0,67.0,7.0,348.0,5.0,3.0028405248207766
ERATH,2998.0,36.0,5.0,19.0,76.0,0.0,0.0,17.0,5.0,1.200800533689126
FALLS,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FANNIN,736.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
FAYETTE,716.0,15.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,2.094972067039106
FLOYD,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORT BEND,13934.0,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,5.016506387254198
FORT BEND COU,13868.0,544.0,794.0,943.0,294.0,108.0,442.0,129.0,2071.0,3.9226997404095765
FRANKLIN,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREESTONE,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FREESTONE COU,367.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
FRIO,360.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.5
GAINES,425.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.1764705882352942
GALVESTON,9107.0,409.0,377.0,636.0,178.0,103.0,134.0,67.0,626.0,4.491050840013177
GALVESTON COU,8886.0,373.0,409.0,601.0,214.0,70.0,126.0,106.0,640.0,4.197614224623003
GARZA,131.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
GILLESPIE,364.0,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,6.593406593406594
GILLESPIE COU,332.0,27.0,16.0,30.0,20.0,0.0,5.0,5.0,0.0,8.132530120481928
GOLIAD,278.0,20.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,7.194244604316546
GONZALES,502.0,66.0,6.0,35.0,0.0,0.0,31.0,0.0,0.0,13.147410358565736
GRAY,499.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0
GRAYSON,3926.0,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,1.0188487009679064
GREGG,4276.0,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,0.4443405051449953
GRIMES,687.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0
GUADALUPE,2604.0,393.0,60.0,142.0,81.0,5.0,247.0,20.0,28.0,15.092165898617512
GUADALUPE COU,2508.0,383.0,80.0,161.0,83.0,0.0,204.0,18.0,11.0,15.271132376395535
HALE,1146.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0
HALL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
HANSFORD,296.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
HARDEMAN,95.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
HARDIN,1978.0,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,3.3872598584428717
HARRIS,145843.0,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,3.69301234889573
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,0.8333333333333334
HASKELL,134.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
HAYS,6278.0,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,23.351385791653392
HEMPHILL,186.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
