County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
GILLESPIE,364.0,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,True,Texas A&M,42.0,11.538461538461538,6.593406593406594,False,49.619445330846645,61.22,88.46153846153847,0.0,⚫ Small Market
GILLESPIE COU,332.0,27.0,16.0,30.0,20.0,0.0,5.0,5.0,0.0,True,Texas A&M,30.0,9.036144578313252,8.132530120481928,False,48.84776657688044,52.16,90.96385542168674,0.0,⚫ Small Market
GOLIAD,278.0,20.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,True,TXST,20.0,7.194244604316546,7.194244604316546,False,47.35974007833186,57.68,92.80575539568345,0.0,⭐ TXST Territory
GONZALES,502.0,66.0,6.0,35.0,0.0,0.0,31.0,0.0,0.0,True,TXST,66.0,13.147410358565736,13.147410358565736,True,52.316543046879026,22.66,86.85258964143426,0.0,⭐ TXST Territory
GRAY,499.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,True,Texas Tech,43.0,8.617234468937877,0.0,False,52.266232497257505,100.0,91.38276553106212,0.0,⚫ Small Market
GRAYSON,3926.0,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,True,UNT,84.0,2.139582272032603,1.0188487009679064,True,69.599892689921,94.01,97.8604177279674,82.57502989055399,🔥 TOP PRIORITY
GREGG,4276.0,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,True,Texas A&M,138.0,3.2273152478952296,0.4443405051449953,True,70.31792423737203,97.39,96.77268475210477,83.73049906910695,🔥 TOP PRIORITY
GRIMES,687.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,86.0,12.518195050946144,0.0,True,54.9506133102925,100.0,87.48180494905385,74.97166764495702,🎯 HIGH OPPORTUNITY
GUADALUPE,2604.0,393.0,60.0,142.0,81.0,5.0,247.0,20.0,28.0,True,TXST,393.0,15.092165898617512,15.092165898617512,True,66.1479751800536,11.22,84.90783410138249,0.0,⭐ TXST Territory
GUADALUPE COU,2508.0,383.0,80.0,161.0,83.0,0.0,204.0,18.0,11.0,True,TXST,383.0,15.271132376395537,15.271132376395537,True,65.83218474210551,10.17,84.72886762360446,0.0,⭐ TXST Territory
HALE,1146.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,True,Texas Tech,161.0,14.048865619546246,0.0,True,59.2492145830542,100.0,85.95113438045375,76.81483416761785,🔥 TOP PRIORITY
HALL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,35.3623975227635,100.0,100.0,0.0,⚫ Small Market
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,1.9011406844106464,0.0,False,46.894968693506364,100.0,98.09885931558935,0.0,⚫ Small Market
HANSFORD,296.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,11.14864864864865,0.0,False,47.88555014745393,100.0,88.85135135135135,0.0,⚫ Small Market
HARDEMAN,95.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,5.263157894736842,0.0,False,38.387180654925345,100.0,94.73684210526316,0.0,⚫ Small Market
HARDIN,1978.0,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,True,Texas A&M,88.0,4.448938321536906,3.3872598584428717,True,63.83650133858543,80.07,95.5510616784631,75.04946300498533,🔥 TOP PRIORITY
HARRIS,145843.0,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,True,UH,13131.0,9.003517481126966,3.69301234889573,True,100.0,78.28,90.99648251887304,91.6832965037746,🔥 TOP PRIORITY
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,True,Stephen F. Austin,122.0,3.505747126436782,0.8333333333333334,True,68.585988588261,95.1,96.49425287356321,82.12184486884314,🔥 TOP PRIORITY
HASKELL,134.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,True,Texas Tech,27.0,20.149253731343283,0.0,False,41.2544488682863,100.0,79.85074626865672,0.0,⚫ Small Market
HAYS,6278.0,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,True,TXST,1466.0,23.351385791653392,23.351385791653392,True,73.54710377208626,0.0,76.6486142083466,0.0,⭐ TXST Territory
HEMPHILL,186.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,17.20430107526882,0.0,False,43.99478371875844,100.0,82.79569892473118,0.0,⚫ Small Market
HENDERSON,860.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.162790697674419,0.0,True,56.83707371612636,100.0,98.83720930232558,78.18597871852829,🔥 TOP PRIORITY
HENDERSON COU,749.0,19.0,0.0,12.0,5.0,6.0,0.0,7.0,0.0,True,TXST,19.0,2.53671562082777,2.53671562082777,True,55.67628398791986,85.08,97.46328437917224,0.0,⭐ TXST Territory
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,True,Texas A&M,1602.0,3.421322398769862,1.9818896292499573,True,90.4449762119076,88.34,96.57867760123014,91.04022362619983,🔥 TOP PRIORITY
HILL,977.0,6.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.023541453428864,0.6141248720573182,True,57.90866351934941,96.39,98.97645854657114,77.66662346898893,🔥 TOP PRIORITY
HOCKLEY,905.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,True,Texas Tech,48.0,5.303867403314917,0.0,True,57.26553079718113,100.0,94.69613259668509,77.57199191792759,🔥 TOP PRIORITY
HOOD,1392.0,48.0,13.0,76.0,97.0,0.0,0.0,35.0,0.0,True,Texas Tech,97.0,6.968390804597702,3.4482758620689653,True,60.88340357508072,79.72,93.0316091954023,72.96402362662083,🎯 HIGH OPPORTUNITY
HOPKINS,999.0,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,True,Texas A&M,46.0,4.604604604604605,0.0,True,58.09575402463467,100.0,95.3953953953954,78.12695609139641,🔥 TOP PRIORITY
HOUSTON,437.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,2.2883295194508007,0.0,False,51.15281006209561,100.0,97.7116704805492,0.0,⚫ Small Market
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,4.336399474375821,0.0,True,55.809782375006165,100.0,95.66360052562418,77.03761129262791,🔥 TOP PRIORITY
HUDSPETH,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,33.54824058149573,100.0,100.0,0.0,⚫ Small Market
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,True,UNT,90.0,3.839590443686007,0.2559726962457337,True,65.26366329005427,98.49,96.160409556314,81.41091355628993,🔥 TOP PRIORITY
HUTCHINSON,362.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,True,Texas Tech,21.0,5.801104972375691,0.0,False,49.57323520471023,100.0,94.1988950276243,0.0,⚫ Small Market
HUTCHINSON CO,376.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,True,Texas Tech,19.0,5.053191489361701,0.0,False,49.89149778835031,100.0,94.9468085106383,0.0,⚫ Small Market
IRION,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,23.827952625423084,100.0,100.0,0.0,⚫ Small Market
JACK,225.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,5.333333333333334,0.0,False,45.58790160934136,100.0,94.66666666666667,0.0,⚫ Small Market
