County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
IRION,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,23.827952625423084,100.0,100.0,0.0,⚫ Small Market
JACK,225.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,5.333333333333334,0.0,False,45.58790160934136,100.0,94.66666666666667,0.0,⚫ Small Market
JACKSON,723.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,24.0,3.319502074688797,1.6597510373443984,True,55.37955610551696,98.34024896265561,96.6804979253112,76.52795232661741,🔥 TOP PRIORITY
JASPER,987.0,10.0,0.0,17.0,0.0,68.0,0.0,8.0,0.0,True,Stephen F. Austin,68.0,6.889564336372847,1.0131712259371837,True,57.994220938776444,98.98682877406281,93.11043566362716,77.3152462343325,🔥 TOP PRIORITY
JEFFERSON,3206.0,75.0,55.0,101.0,0.0,30.0,0.0,0.0,61.0,True,Texas A&M,101.0,3.1503431066749847,2.3393636930754833,True,67.89648758734337,97.66063630692452,96.84965689332502,82.61636606441404,🔥 TOP PRIORITY
JEFFERSON COU,3207.0,74.0,53.0,113.0,0.0,28.0,5.0,19.0,60.0,True,Texas A&M,113.0,3.5235422513252264,2.307452447770502,True,67.8991096362495,97.6925475522295,96.47645774867478,82.55261063352856,🔥 TOP PRIORITY
JIM HOGG,232.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,UTSA,5.0,2.1551724137931036,0.0,False,45.84444242556335,100.0,97.84482758620689,0.0,⚫ Small Market
JIM WELLS,652.0,12.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,True,UTSA,35.0,5.368098159509203,1.8404907975460123,True,54.51150126001952,98.15950920245399,94.6319018404908,75.62998375884412,🔥 TOP PRIORITY
JIM WELLS COU,587.0,16.0,7.0,20.0,0.0,0.0,32.0,0.0,0.0,True,UTSA,32.0,5.45144804088586,2.72572402044293,True,53.62968797903994,97.27427597955707,94.54855195911414,74.90683717520992,🎯 HIGH OPPORTUNITY
JOHNSON,6080.0,108.0,55.0,202.0,223.0,20.0,0.0,288.0,0.0,True,UNT,288.0,4.736842105263158,1.776315789473684,True,73.27762701120957,98.22368421052632,95.26315789473684,85.15855034771005,🔥 TOP PRIORITY
JONES,555.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,True,Texas Tech,17.0,3.063063063063063,0.0,True,53.159063290325506,100.0,96.93693693693693,75.96691903255014,🔥 TOP PRIORITY
KARNES,387.0,19.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,True,TXST,19.0,4.909560723514212,4.909560723514212,False,50.13337704709719,95.09043927648578,95.09043927648578,0.0,⭐ TXST Territory
KAUFMAN,5505.0,94.0,58.0,216.0,135.0,116.0,5.0,275.0,7.0,True,UNT,275.0,4.995458673932789,1.7075386012715712,True,72.4422333772163,98.29246139872843,95.00454132606721,84.70976337344013,🔥 TOP PRIORITY
KENDALL,2720.0,197.0,122.0,319.0,270.0,0.0,300.0,19.0,5.0,True,Texas A&M,319.0,11.727941176470589,7.24264705882353,True,66.51438150154297,92.75735294117646,88.2720588235294,78.73880839783031,🔥 TOP PRIORITY
KERR,1054.0,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,True,TXST,84.0,7.969639468690702,7.969639468690702,True,58.54604374975062,92.0303605313093,92.0303605313093,0.0,⭐ TXST Territory
KIMBLE,104.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.807692307692308,0.0,False,39.140838785330295,100.0,95.1923076923077,0.0,⚫ Small Market
KINNEY,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,40.05093903374403,100.0,100.0,0.0,⚫ Small Market
KLEBERG,1012.0,13.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,True,TXST,13.0,1.2845849802371545,1.2845849802371545,True,58.204382343923164,98.71541501976284,98.71541501976284,0.0,⭐ TXST Territory
KNOX,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,28.604824359584413,100.0,100.0,0.0,⚫ Small Market
LA SALLE,185.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,True,UTSA,13.0,7.027027027027027,0.0,False,43.9496885876695,100.0,92.97297297297297,0.0,⚫ Small Market
LAMAR,1386.0,5.0,0.0,40.0,0.0,6.0,0.0,23.0,0.0,True,Texas A&M,40.0,2.886002886002886,0.3607503607503607,True,60.847100403036045,99.63924963924964,97.11399711399712,79.73812451609234,🔥 TOP PRIORITY
LAMB,445.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,2.696629213483146,0.0,False,51.305035426876955,100.0,97.30337078651685,0.0,⚫ Small Market
LAMPASAS,604.0,48.0,13.0,48.0,21.0,0.0,11.0,7.0,0.0,True,TXST,48.0,7.947019867549669,7.947019867549669,True,53.86939200083843,92.05298013245033,92.05298013245033,0.0,⭐ TXST Territory
LAVACA,526.0,40.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,54.0,10.26615969581749,7.604562737642586,True,52.70854666767589,92.39543726235742,89.73384030418251,72.01967257338167,🎯 HIGH OPPORTUNITY
LEE,501.0,6.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,69.0,13.77245508982036,1.1976047904191618,True,52.299806281557856,98.80239520958084,86.22754491017965,73.0361306856891,🎯 HIGH OPPORTUNITY
LEON,640.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,13.0,2.03125,0.0,True,54.35551122166532,100.0,97.96875,76.77150561083266,🔥 TOP PRIORITY
LIBERTY,2274.0,20.0,0.0,59.0,0.0,33.0,0.0,0.0,37.0,True,Texas A&M,59.0,2.594547053649956,0.8795074758135445,True,65.00878857912348,99.12049252418646,97.40545294635004,81.72163263608769,🔥 TOP PRIORITY
LIMESTONE,288.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,6.0,2.083333333333333,1.7361111111111112,False,47.65590525084617,98.26388888888889,97.91666666666667,0.0,⚫ Small Market
LIMESTONE COU,299.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,TXST,5.0,1.6722408026755853,1.6722408026755853,False,47.9700757011293,98.32775919732441,98.32775919732441,0.0,⭐ TXST Territory
LIPSCOMB,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,19.36525134154489,100.0,100.0,0.0,⚫ Small Market
LIVE OAK,350.0,6.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,True,Texas A&M,12.0,3.428571428571429,1.7142857142857144,False,49.29051205178355,98.28571428571429,96.57142857142857,0.0,⚫ Small Market
LLANO,305.0,21.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,True,Texas A&M,37.0,12.131147540983608,6.885245901639345,False,48.1366201888793,93.11475409836065,87.8688524590164,0.0,⚫ Small Market
LUBBOCK,8674.0,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,True,Texas Tech,2585.0,29.80170624855891,0.9914687572054416,True,76.26557839799544,99.00853124279456,70.19829375144108,81.8750073221243,🔥 TOP PRIORITY
LYNN,192.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,16.666666666666664,0.0,False,44.26039174444052,100.0,83.33333333333334,0.0,⚫ Small Market
MADISON,408.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,True,Texas A&M,50.0,12.254901960784313,0.0,False,50.57667829413324,100.0,87.74509803921569,0.0,⚫ Small Market
MARION,203.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,4.926108374384237,0.0,False,44.72656869821694,100.0,95.07389162561576,0.0,⚫ Small Market
MARTIN,175.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,True,Texas Tech,11.0,6.2857142857142865,0.0,False,43.48491720284401,100.0,93.71428571428571,0.0,⚫ Small Market
MASON,199.0,5.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,True,Texas Tech,35.0,17.587939698492463,2.512562814070352,False,44.56002421046694,97.48743718592965,82.41206030150754,0.0,⚫ Small Market
MATAGORDA,665.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,True,TXST,19.0,2.857142857142857,2.857142857142857,True,54.677288104257606,97.14285714285714,97.14285714285714,0.0,⭐ TXST Territory
MATAGORDA COU,654.0,6.0,5.0,22.0,0.0,0.0,5.0,0.0,0.0,True,Texas A&M,22.0,3.3639143730886847,0.9174311926605504,True,54.537220612780004,99.08256880733946,96.63608562691131,76.3205980739741,🔥 TOP PRIORITY
MAVERICK,3396.0,132.0,212.0,61.0,45.0,0.0,345.0,0.0,0.0,True,UTSA,345.0,10.159010600706711,3.886925795053003,True,68.380552776148,96.113074204947,89.84098939929329,80.99239652941675,🔥 TOP PRIORITY
MCCULLOCH,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,38.47433399234287,100.0,100.0,0.0,⚫ Small Market
MCCULLOCH COU,91.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,Texas Tech,7.0,7.6923076923076925,0.0,False,38.02924485801304,100.0,92.3076923076923,0.0,⚫ Small Market
MCLENNAN,10456.0,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,True,Texas A&M,366.0,3.500382555470543,1.444146901300689,True,77.83682889077775,98.55585309869932,96.49961744452946,87.78509386390456,🔥 TOP PRIORITY
MCMULLEN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,27.718719054118573,100.0,100.0,0.0,⚫ Small Market
MEDINA,1863.0,91.0,21.0,110.0,71.0,0.0,219.0,0.0,0.0,True,UTSA,219.0,11.755233494363928,4.884594739667204,True,63.33300700769484,95.11540526033279,88.24476650563608,77.85007838307448,🔥 TOP PRIORITY
MENARD,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,24.30866756345621,100.0,100.0,0.0,⚫ Small Market
MIDLAND,4221.0,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,True,Texas Tech,407.0,9.642264866145462,1.610992655768775,True,70.20907174738845,98.38900734423123,90.35773513385453,82.69278510373451,🔥 TOP PRIORITY
MILAM,742.0,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,38.0,5.121293800539084,0.6738544474393532,True,55.59741997723735,99.32614555256065,94.87870619946092,76.57229489427905,🔥 TOP PRIORITY
MILLS,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,42.942133925542606,100.0,100.0,0.0,⚫ Small Market
MITCHELL,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,43.14358599532997,100.0,100.0,0.0,⚫ Small Market
MONTAGUE,431.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,True,Texas A&M,5.0,1.160092807424594,0.0,False,51.03680516362723,100.0,98.83990719257541,0.0,⚫ Small Market
MONTGOMERY,10757.0,542.0,434.0,1021.0,284.0,196.0,117.0,106.0,281.0,True,Texas A&M,1021.0,9.491493910941712,5.038579529608627,True,78.07549461268476,94.96142047039137,90.50850608905829,85.62787466527146,🔥 TOP PRIORITY
MONTGOMERY CO,9422.0,435.0,436.0,869.0,284.0,133.0,155.0,104.0,295.0,True,Texas A&M,869.0,9.22309488431331,4.616854171088941,True,76.96117256485428,95.38314582891105,90.77690511568669,85.25091105423779,🔥 TOP PRIORITY
MOORE,870.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,True,Texas Tech,29.0,3.3333333333333335,0.0,True,56.93419052042849,100.0,96.66666666666667,77.80042859354758,🔥 TOP PRIORITY
MORRIS,345.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,True,Stephen F. Austin,9.0,2.608695652173913,1.4492753623188406,False,49.16984682843139,98.55072463768116,97.3913043478261,0.0,⚫ Small Market
NACOGDOCHES,887.0,11.0,8.0,31.0,0.0,338.0,0.0,5.0,0.0,True,Stephen F. Austin,338.0,38.10597519729425,1.2401352874859075,True,57.096758140972405,98.75986471251409,61.89402480270575,70.55514344478158,🎯 HIGH OPPORTUNITY
NACOGDOCHES C,876.0,0.0,19.0,34.0,0.0,254.0,0.0,7.0,0.0,True,Stephen F. Austin,254.0,28.99543378995434,0.0,True,56.99192682359778,100.0,71.00456621004565,72.69687665380802,🎯 HIGH OPPORTUNITY
NAVARRO,1813.0,10.0,26.0,38.0,0.0,0.0,0.0,27.0,0.0,True,Texas A&M,38.0,2.095973524544953,0.5515719801434087,True,63.104330010880616,99.44842801985659,97.90402647545504,80.9674987064883,🔥 TOP PRIORITY
NEWTON,233.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,True,Stephen F. Austin,19.0,8.15450643776824,0.0,False,45.8804605611212,100.0,91.84549356223175,0.0,⚫ Small Market
NOLAN,440.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,7.5,0.0,False,51.210217942325144,100.0,92.5,0.0,⚫ Small Market
NUECES,11131.0,319.0,348.0,436.0,88.0,0.0,544.0,24.0,62.0,True,UTSA,544.0,4.887251819243554,2.865870092534363,True,78.36290704468375,97.13412990746563,95.11274818075644,87.34424213073285,🔥 TOP PRIORITY
OCHILTREE,212.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,True,Texas Tech,25.0,11.79245283018868,0.0,False,45.08965623911778,100.0,88.20754716981132,0.0,⚫ Small Market
OCHILTREE COU,205.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,True,Texas Tech,25.0,12.195121951219512,0.0,False,44.80862029341049,100.0,87.8048780487805,0.0,⚫ Small Market
OLDHAM,201.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,8.45771144278607,0.0,False,44.643708699908586,100.0,91.54228855721394,0.0,⚫ Small Market
ORANGE,2535.0,35.0,10.0,60.0,0.0,18.0,0.0,0.0,0.0,True,Texas A&M,60.0,2.366863905325444,1.3806706114398422,True,65.92220581507708,98.61932938856016,97.63313609467455,82.07352894304151,🔥 TOP PRIORITY
PALO PINTO,236.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,Texas Tech,7.0,2.9661016949152543,0.0,False,45.987598593403675,100.0,97.03389830508475,0.0,⚫ Small Market
PALO PINTO CO,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,46.335177884022116,100.0,100.0,0.0,⚫ Small Market
PANOLA,932.0,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,True,Stephen F. Austin,40.0,4.291845493562231,0.0,True,57.512504485791446,100.0,95.70815450643777,77.89788314418328,🔥 TOP PRIORITY
PARKER,4257.0,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,True,Texas Tech,300.0,7.047216349541931,1.3624618275781066,True,70.2804797199427,98.6375381724219,92.95278365045807,83.32205804178953,🔥 TOP PRIORITY
PARMER,333.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,True,Texas Tech,13.0,3.903903903903904,0.0,False,48.87298465214183,100.0,96.09609609609609,0.0,⚫ Small Market
PECOS,331.0,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,True,UTSA,27.0,8.157099697885197,0.0,False,48.8224726576695,100.0,91.8429003021148,0.0,⚫ Small Market
POLK,853.0,5.0,11.0,49.0,0.0,53.0,0.0,0.0,0.0,True,Stephen F. Austin,53.0,6.213364595545135,0.5861664712778429,True,56.76841846304259,99.41383352872215,93.78663540445487,76.96568637102891,🔥 TOP PRIORITY
POTTER,6744.0,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,True,Texas Tech,381.0,5.649466192170818,0.2075919335705812,True,74.1491979216031,99.79240806642942,94.35053380782918,85.88242814229622,🔥 TOP PRIORITY
PRESIDIO,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,46.09338894171591,100.0,100.0,0.0,⚫ Small Market
RAINS,253.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,True,UNT,9.0,3.557312252964427,0.0,False,46.57020935696664,100.0,96.44268774703558,0.0,⚫ Small Market
RANDALL,2084.0,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,True,Texas Tech,218.0,10.460652591170826,0.6238003838771593,True,64.27532306777842,99.37619961612285,89.53934740882917,79.8583909004919,🔥 TOP PRIORITY
REAGAN,114.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.385964912280701,0.0,False,39.90593161742644,100.0,95.6140350877193,0.0,⚫ Small Market
REAL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,29.40640411137488,100.0,100.0,0.0,⚫ Small Market
RED RIVER,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,39.90593161742644,100.0,100.0,0.0,⚫ Small Market
RED RIVER COU,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,43.812934000581905,100.0,100.0,0.0,⚫ Small Market
REEVES,335.0,5.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,True,Texas Tech,32.0,9.55223880597015,1.4925373134328357,False,48.92319508067123,98.50746268656717,90.44776119402985,0.0,⚫ Small Market
REFUGIO,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,45.58790160934136,100.0,100.0,0.0,⚫ Small Market
ROBERTSON,307.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,39.0,12.703583061889251,0.0,False,48.191410101212725,100.0,87.29641693811075,0.0,⚫ Small Market
ROBERTSON COU,233.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,17.0,7.296137339055794,0.0,False,45.8804605611212,100.0,92.70386266094421,0.0,⚫ Small Market
ROCKWALL,4660.0,130.0,145.0,288.0,370.0,131.0,11.0,307.0,0.0,True,Texas Tech,370.0,7.939914163090128,2.7896995708154506,True,71.04101986949465,97.21030042918454,92.06008583690988,83.09561723088466,🔥 TOP PRIORITY
RUNNELS,421.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,4.038004750593824,0.0,False,50.83983546296006,100.0,95.96199524940617,0.0,⚫ Small Market
RUSK,1504.0,0.0,10.0,16.0,0.0,59.0,0.0,0.0,0.0,True,Stephen F. Austin,59.0,3.922872340425532,0.0,True,61.53379296807462,100.0,96.07712765957447,79.9823220159522,🔥 TOP PRIORITY
SABINE,198.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,True,Stephen F. Austin,17.0,8.585858585858585,0.0,False,44.51786762195767,100.0,91.41414141414141,0.0,⚫ Small Market
SAN AUGUSTINE,138.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,True,Stephen F. Austin,7.0,5.072463768115942,0.0,False,41.500020235571164,100.0,94.92753623188406,0.0,⚫ Small Market
SAN JACINTO,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,43.579948968751765,100.0,100.0,0.0,⚫ Small Market
SAN JACINTO C,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,44.084255007241616,100.0,100.0,0.0,⚫ Small Market
SAN PATRICIO,2372.0,85.0,0.0,58.0,7.0,0.0,73.0,0.0,0.0,True,TXST,85.0,3.583473861720068,3.583473861720068,True,65.36348905312676,96.41652613827993,96.41652613827993,0.0,⭐ TXST Territory
SAN SABA,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,41.500020235571164,100.0,100.0,0.0,⚫ Small Market
SCHLEICHER,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,36.198142068178555,100.0,100.0,0.0,⚫ Small Market
SCHLEICHER CO,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,34.573360982542376,100.0,100.0,0.0,⚫ Small Market
SCURRY,477.0,14.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,True,Texas Tech,56.0,11.740041928721174,2.9350104821802936,False,51.887794669440645,97.06498951781971,88.25995807127883,0.0,⚫ Small Market
SHACKELFORD,74.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,True,Texas Tech,18.0,24.324324324324326,0.0,False,36.311032646374976,100.0,75.67567567567568,0.0,⚫ Small Market
SHACKELFORD C,64.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,Texas Tech,6.0,9.375,0.0,False,35.10752281183271,100.0,90.625,0.0,⚫ Small Market
SHELBY,1045.0,0.0,0.0,5.0,0.0,107.0,0.0,0.0,0.0,True,Stephen F. Austin,107.0,10.239234449760763,0.0,True,58.4739900047062,100.0,89.76076555023924,77.18914811240094,🔥 TOP PRIORITY
SHERMAN,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,38.299114700524854,100.0,100.0,0.0,⚫ Small Market
SMITH,7426.0,21.0,94.0,224.0,79.0,139.0,0.0,70.0,0.0,True,Texas A&M,224.0,3.016428763802854,0.2827901966065176,True,74.9592748503515,99.71720980339349,96.98357123619715,86.79151461343324,🔥 TOP PRIORITY
SOMERVELL,126.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,True,Texas Tech,15.0,11.904761904761903,0.0,False,40.740687829589476,100.0,88.0952380952381,0.0,⚫ Small Market
SOMERVELL COU,182.0,5.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,True,Texas A&M,11.0,6.043956043956044,2.7472527472527473,False,43.812934000581905,97.25274725274726,93.95604395604396,0.0,⚫ Small Market
STARR,3627.0,19.0,88.0,66.0,0.0,0.0,134.0,0.0,0.0,True,UTSA,134.0,3.694513371932727,0.5238489109456851,True,68.93385153825778,99.47615108905431,96.30548662806727,83.57086842145864,🔥 TOP PRIORITY
STEPHENS,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,46.79885082676437,100.0,100.0,0.0,⚫ Small Market
STERLING,57.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,21.052631578947366,0.0,False,34.14922631806248,100.0,78.94736842105263,0.0,⚫ Small Market
SUTTON,193.0,5.0,0.0,0.0,13.0,0.0,6.0,0.0,0.0,True,Texas Tech,13.0,6.7357512953367875,2.5906735751295336,False,44.30385551972003,97.40932642487047,93.26424870466322,0.0,⚫ Small Market
SWISHER,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,40.87210021882337,100.0,100.0,0.0,⚫ Small Market
TARRANT,55816.0,1081.0,2008.0,2293.0,1943.0,379.0,121.0,4853.0,360.0,True,UNT,4853.0,8.694639529883904,1.9367206535760355,True,91.92232615252345,98.06327934642397,91.3053604701161,93.64121897421214,🔥 TOP PRIORITY
TAYLOR,5572.0,106.0,76.0,232.0,496.0,11.0,13.0,150.0,76.0,True,Texas Tech,496.0,8.90165111270639,1.9023689877961232,True,72.54395586659071,98.09763101220388,91.09834888729361,83.92093701441523,🔥 TOP PRIORITY
TERRY,223.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,Texas Tech,8.0,3.587443946188341,0.0,False,45.513143590008866,100.0,96.41255605381166,0.0,⚫ Small Market
TITUS,1308.0,0.0,11.0,35.0,10.0,5.0,0.0,6.0,0.0,True,Texas A&M,35.0,2.675840978593272,0.0,True,60.36031967188148,100.0,97.32415902140673,79.64499164022209,🔥 TOP PRIORITY
TOM GREEN,1737.0,20.0,40.0,43.0,139.0,0.0,18.0,10.0,0.0,True,Texas Tech,139.0,8.00230282095567,1.1514104778353482,True,62.74437819607667,98.84858952216466,91.99769717904434,79.4263053904966,🔥 TOP PRIORITY
TOM GREEN COU,1533.0,23.0,27.0,48.0,103.0,0.0,5.0,7.0,0.0,True,Texas Tech,103.0,6.718851924331376,1.5003261578604044,True,61.69430881917265,98.4996738421396,93.28114807566863,79.05328617736193,🔥 TOP PRIORITY
TRAVIS,26933.0,3335.0,3129.0,1621.0,700.0,53.0,1449.0,551.0,453.0,True,TXST,3335.0,12.382578992314262,12.382578992314262,True,85.79388959094369,87.61742100768573,87.61742100768573,0.0,⭐ TXST Territory
TRINITY,287.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,3.484320557491289,0.0,False,47.626753672964874,100.0,96.51567944250871,0.0,⚫ Small Market
TYLER,431.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,True,Stephen F. Austin,55.0,12.761020881670534,0.0,False,51.03680516362723,100.0,87.23897911832947,0.0,⚫ Small Market
UPSHUR,1277.0,5.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,True,Texas A&M,15.0,1.1746280344557558,0.3915426781519185,True,60.15875078453446,99.60845732184808,98.82537196554425,79.72698698193051,🔥 TOP PRIORITY
UPTON,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,39.299526923327946,100.0,100.0,0.0,⚫ Small Market
UVALDE,867.0,20.0,0.0,21.0,11.0,0.0,58.0,0.0,0.0,True,UTSA,58.0,6.6897347174163775,2.306805074971165,True,56.90517305013019,97.69319492502883,93.31026528258363,76.42259805909046,🔥 TOP PRIORITY
VAL VERDE,887.0,45.0,31.0,46.0,29.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,11.61217587373168,5.0732807215332585,True,57.096758140972405,94.92671927846675,88.38782412626833,74.70395967927989,🎯 HIGH OPPORTUNITY
VAL VERDE COU,840.0,44.0,43.0,52.0,25.0,0.0,87.0,0.0,0.0,True,UTSA,87.0,10.357142857142858,5.238095238095238,True,56.63940958137065,94.76190476190476,89.64285714285714,74.67684764782818,🎯 HIGH OPPORTUNITY
VAN ZANDT,895.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,True,Texas A&M,16.0,1.7877094972067038,0.0,True,57.17218664476319,100.0,98.2122905027933,78.22855142294026,🔥 TOP PRIORITY
VAN ZANDT COU,972.0,0.0,0.0,31.0,0.0,7.0,0.0,0.0,0.0,True,Texas A&M,31.0,3.189300411522634,0.0,True,57.865556188694214,100.0,96.81069958847736,78.29491801204259,🔥 TOP PRIORITY
VICTORIA,1969.0,120.0,60.0,96.0,0.0,0.0,75.0,0.0,5.0,True,TXST,120.0,6.094464195022854,6.094464195022854,True,63.79816650585012,93.90553580497715,93.90553580497715,0.0,⭐ TXST Territory
