County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
CHILDRESS,107.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,True,Texas Tech,21.0,19.626168224299064,0.0,False,39.37776210887291,100.0,80.37383177570094,0.0,⚫ Small Market
CHILDRESS COU,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,38.21011681396115,100.0,100.0,0.0,⚫ Small Market
CLAY,243.0,0.0,0.0,6.0,17.0,0.0,0.0,5.0,0.0,True,Texas Tech,17.0,6.995884773662551,0.0,False,46.2324040372967,100.0,93.00411522633745,0.0,⚫ Small Market
COCHRAN,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,33.39103559698016,100.0,100.0,0.0,⚫ Small Market
COKE,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,24.30866756345621,100.0,100.0,0.0,⚫ Small Market
COLEMAN,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,43.19320396696797,100.0,100.0,0.0,⚫ Small Market
COLLIN,44777.0,969.0,3054.0,3219.0,2713.0,464.0,125.0,3253.0,332.0,True,UNT,3253.0,7.264890457154342,2.164057440203676,True,90.06903676644329,97.83594255979632,92.73510954284566,92.93232305972968,🔥 TOP PRIORITY
COLLINGSWORTH,110.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.545454545454546,0.0,False,39.60819355884091,100.0,95.45454545454545,0.0,⚫ Small Market
COLORADO,761.0,21.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,30.0,3.942181340341656,2.759526938239159,True,55.809782375006165,97.24047306176084,96.05781865965834,76.28859683796301,🔥 TOP PRIORITY
COMAL,6862.0,1136.0,282.0,632.0,429.0,5.0,534.0,70.0,22.0,True,TXST,1136.0,16.554940250655786,16.554940250655786,True,74.29505786387334,83.44505974934421,83.44505974934421,0.0,⭐ TXST Territory
COMANCHE,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,50.83983546296006,100.0,100.0,0.0,⚫ Small Market
