County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share
COOKE,1186.0,0.0,0.0,10.0,31.0,0.0,0.0,57.0,0.0,True,UNT,57.0,4.806070826306914,0.0
CORYELL,1530.0,103.0,27.0,77.0,11.0,6.0,60.0,15.0,0.0,True,TXST,103.0,6.73202614379085,6.73202614379085
CRANE,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
CROCKETT,127.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,Texas Tech,6.0,4.724409448818897,0.0
CROSBY,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
CULBERSON COU,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
DALLAM,282.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,True,Texas Tech,56.0,19.858156028368796,0.0
DALLAS,77758.0,1021.0,2854.0,2181.0,1483.0,475.0,154.0,5714.0,561.0,True,UNT,5714.0,7.3484400318938246,1.3130481751073846
DAWSON,274.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,True,Texas Tech,38.0,13.86861313868613,0.0
DEAF SMITH,268.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,True,Texas Tech,23.0,8.582089552238806,0.0
DEAF SMITH CO,286.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,True,Texas Tech,27.0,9.44055944055944,0.0
DELTA,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
DENTON,23678.0,448.0,945.0,1427.0,1401.0,218.0,58.0,3551.0,141.0,True,UNT,3551.0,14.997043669228821,1.8920516935551988
DEWITT,701.0,52.0,0.0,35.0,0.0,0.0,18.0,0.0,0.0,True,TXST,52.0,7.417974322396577,7.417974322396577
DICKENS,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
DIMMIT,433.0,17.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,True,UTSA,39.0,9.006928406466514,3.9260969976905313
DONLEY,72.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,True,Texas Tech,8.0,11.11111111111111,0.0
DUVAL,443.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,UTSA,5.0,1.1286681715575622,0.0
EASTLAND,478.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,True,Texas Tech,22.0,4.602510460251046,0.0
ECTOR,4939.0,67.0,87.0,57.0,246.0,0.0,86.0,52.0,0.0,True,Texas Tech,246.0,4.980765337112776,1.356549908888439
EL PASO,38033.0,342.0,782.0,320.0,803.0,0.0,363.0,127.0,17.0,True,Texas Tech,803.0,2.111324376199616,0.8992190992033234
ELLIS,7393.0,222.0,131.0,258.0,298.0,67.0,7.0,348.0,5.0,True,UNT,348.0,4.707155417286622,3.0028405248207766
ERATH,2998.0,36.0,5.0,19.0,76.0,0.0,0.0,17.0,5.0,True,Texas Tech,76.0,2.535023348899266,1.200800533689126
FALLS,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
FANNIN,736.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,5.0,0.6793478260869565,0.0
FAYETTE,716.0,15.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,72.0,10.05586592178771,2.094972067039106
FLOYD,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
FORT BEND,13934.0,699.0,783.0,1047.0,244.0,117.0,464.0,138.0,1909.0,True,UH,1909.0,13.700301420984642,5.016506387254198
FORT BEND COU,13868.0,544.0,794.0,943.0,294.0,108.0,442.0,129.0,2071.0,True,UH,2071.0,14.933660224978368,3.9226997404095765
FRANKLIN,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
FREESTONE,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
FREESTONE COU,367.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,11.0,2.997275204359673,0.0
FRIO,360.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,True,UTSA,12.0,3.3333333333333335,2.5
GAINES,425.0,5.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,True,Texas Tech,34.0,8.0,1.1764705882352942
GALVESTON,9107.0,409.0,377.0,636.0,178.0,103.0,134.0,67.0,626.0,True,Texas A&M,636.0,6.983638959042494,4.491050840013177
GALVESTON COU,8886.0,373.0,409.0,601.0,214.0,70.0,126.0,106.0,640.0,True,UH,640.0,7.202340760747243,4.197614224623003
GARZA,131.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,3.816793893129771,0.0
GILLESPIE,364.0,24.0,5.0,42.0,38.0,0.0,15.0,0.0,0.0,True,Texas A&M,42.0,11.538461538461538,6.593406593406594
GILLESPIE COU,332.0,27.0,16.0,30.0,20.0,0.0,5.0,5.0,0.0,True,Texas A&M,30.0,9.036144578313253,8.132530120481928
GOLIAD,278.0,20.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,True,TXST,20.0,7.194244604316546,7.194244604316546
GONZALES,502.0,66.0,6.0,35.0,0.0,0.0,31.0,0.0,0.0,True,TXST,66.0,13.147410358565736,13.147410358565736
GRAY,499.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,True,Texas Tech,43.0,8.617234468937877,0.0
GRAYSON,3926.0,40.0,6.0,71.0,76.0,0.0,0.0,84.0,0.0,True,UNT,84.0,2.1395822720326034,1.0188487009679064
GREGG,4276.0,19.0,41.0,138.0,19.0,123.0,0.0,58.0,0.0,True,Texas A&M,138.0,3.2273152478952296,0.4443405051449953
GRIMES,687.0,0.0,10.0,86.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,86.0,12.518195050946144,0.0
GUADALUPE,2604.0,393.0,60.0,142.0,81.0,5.0,247.0,20.0,28.0,True,TXST,393.0,15.092165898617512,15.092165898617512
GUADALUPE COU,2508.0,383.0,80.0,161.0,83.0,0.0,204.0,18.0,11.0,True,TXST,383.0,15.271132376395535,15.271132376395535
HALE,1146.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,True,Texas Tech,161.0,14.048865619546246,0.0
HALL,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
HAMILTON,263.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,1.9011406844106464,0.0
HANSFORD,296.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,11.14864864864865,0.0
HARDEMAN,95.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,5.263157894736842,0.0
HARDIN,1978.0,67.0,5.0,88.0,8.0,38.0,0.0,0.0,10.0,True,Texas A&M,88.0,4.448938321536906,3.3872598584428717
HARRIS,145843.0,5386.0,6616.0,7908.0,2462.0,1572.0,2641.0,1081.0,13131.0,True,UH,13131.0,9.003517481126966,3.69301234889573
HARRISON,3480.0,29.0,42.0,83.0,24.0,122.0,0.0,60.0,17.0,True,Stephen F. Austin,122.0,3.505747126436782,0.8333333333333334
HASKELL,134.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,True,Texas Tech,27.0,20.149253731343283,0.0
HAYS,6278.0,1466.0,396.0,426.0,254.0,5.0,258.0,93.0,10.0,True,TXST,1466.0,23.351385791653392,23.351385791653392
HEMPHILL,186.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,17.20430107526882,0.0
HENDERSON,860.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.1627906976744187,0.0
HENDERSON COU,749.0,19.0,0.0,12.0,5.0,6.0,0.0,7.0,0.0,True,TXST,19.0,2.53671562082777,2.53671562082777
HIDALGO,46824.0,928.0,1288.0,1602.0,140.0,5.0,1515.0,43.0,123.0,True,Texas A&M,1602.0,3.421322398769862,1.9818896292499573
HILL,977.0,6.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,True,Texas A&M,10.0,1.023541453428864,0.6141248720573182
HOCKLEY,905.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,True,Texas Tech,48.0,5.303867403314917,0.0
HOOD,1392.0,48.0,13.0,76.0,97.0,0.0,0.0,35.0,0.0,True,Texas Tech,97.0,6.968390804597702,3.4482758620689653
HOPKINS,999.0,0.0,0.0,46.0,34.0,7.0,0.0,19.0,0.0,True,Texas A&M,46.0,4.604604604604605,0.0
HOUSTON,437.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,2.2883295194508007,0.0
HOWARD,761.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,4.336399474375821,0.0
HUDSPETH,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
HUNT,2344.0,6.0,5.0,6.0,18.0,11.0,0.0,90.0,0.0,True,UNT,90.0,3.839590443686007,0.25597269624573377
HUTCHINSON,362.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,True,Texas Tech,21.0,5.801104972375691,0.0
HUTCHINSON CO,376.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,True,Texas Tech,19.0,5.053191489361701,0.0
IRION,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
JACK,225.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,5.333333333333334,0.0
JACKSON,723.0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,24.0,3.319502074688797,1.6597510373443984
JASPER,987.0,10.0,0.0,17.0,0.0,68.0,0.0,8.0,0.0,True,Stephen F. Austin,68.0,6.889564336372847,1.0131712259371835
JEFFERSON,3206.0,75.0,55.0,101.0,0.0,30.0,0.0,0.0,61.0,True,Texas A&M,101.0,3.1503431066749847,2.3393636930754833
JEFFERSON COU,3207.0,74.0,53.0,113.0,0.0,28.0,5.0,19.0,60.0,True,Texas A&M,113.0,3.5235422513252264,2.307452447770502
JIM HOGG,232.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,True,UTSA,5.0,2.1551724137931036,0.0
JIM WELLS,652.0,12.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,True,UTSA,35.0,5.368098159509203,1.8404907975460123
JIM WELLS COU,587.0,16.0,7.0,20.0,0.0,0.0,32.0,0.0,0.0,True,UTSA,32.0,5.45144804088586,2.72572402044293
JOHNSON,6080.0,108.0,55.0,202.0,223.0,20.0,0.0,288.0,0.0,True,UNT,288.0,4.736842105263158,1.776315789473684
JONES,555.0,0.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,True,Texas Tech,17.0,3.063063063063063,0.0
KARNES,387.0,19.0,0.0,11.0,0.0,0.0,9.0,0.0,0.0,True,TXST,19.0,4.909560723514212,4.909560723514212
KAUFMAN,5505.0,94.0,58.0,216.0,135.0,116.0,5.0,275.0,7.0,True,UNT,275.0,4.995458673932789,1.7075386012715712
KENDALL,2720.0,197.0,122.0,319.0,270.0,0.0,300.0,19.0,5.0,True,Texas A&M,319.0,11.727941176470589,7.24264705882353
KERR,1054.0,84.0,44.0,73.0,62.0,0.0,58.0,7.0,0.0,True,TXST,84.0,7.969639468690702,7.969639468690702
KIMBLE,104.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.807692307692308,0.0
KINNEY,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
KLEBERG,1012.0,13.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,True,TXST,13.0,1.2845849802371543,1.2845849802371543
KNOX,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
LA SALLE,185.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,True,UTSA,13.0,7.027027027027027,0.0
LAMAR,1386.0,5.0,0.0,40.0,0.0,6.0,0.0,23.0,0.0,True,Texas A&M,40.0,2.886002886002886,0.36075036075036077
LAMB,445.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,True,Texas Tech,12.0,2.696629213483146,0.0
LAMPASAS,604.0,48.0,13.0,48.0,21.0,0.0,11.0,7.0,0.0,True,TXST,48.0,7.9470198675496695,7.9470198675496695
LAVACA,526.0,40.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,54.0,10.26615969581749,7.604562737642586
LEE,501.0,6.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,69.0,13.77245508982036,1.1976047904191618
LEON,640.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,13.0,2.03125,0.0
LIBERTY,2274.0,20.0,0.0,59.0,0.0,33.0,0.0,0.0,37.0,True,Texas A&M,59.0,2.594547053649956,0.8795074758135445
LIMESTONE,288.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,6.0,2.083333333333333,1.7361111111111112
LIMESTONE COU,299.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,TXST,5.0,1.6722408026755853,1.6722408026755853
LIPSCOMB,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
LIVE OAK,350.0,6.0,0.0,12.0,5.0,0.0,7.0,0.0,0.0,True,Texas A&M,12.0,3.428571428571429,1.7142857142857144
LLANO,305.0,21.0,0.0,37.0,20.0,0.0,0.0,0.0,0.0,True,Texas A&M,37.0,12.131147540983607,6.885245901639345
LUBBOCK,8674.0,86.0,99.0,92.0,2585.0,0.0,5.0,92.0,7.0,True,Texas Tech,2585.0,29.80170624855891,0.9914687572054416
LYNN,192.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,True,Texas Tech,32.0,16.666666666666664,0.0
MADISON,408.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,6.0,True,Texas A&M,50.0,12.254901960784313,0.0
MARION,203.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,True,Stephen F. Austin,10.0,4.926108374384237,0.0
MARTIN,175.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,True,Texas Tech,11.0,6.2857142857142865,0.0
MASON,199.0,5.0,0.0,10.0,35.0,0.0,0.0,0.0,0.0,True,Texas Tech,35.0,17.587939698492463,2.512562814070352
MATAGORDA,665.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,True,TXST,19.0,2.857142857142857,2.857142857142857
MATAGORDA COU,654.0,6.0,5.0,22.0,0.0,0.0,5.0,0.0,0.0,True,Texas A&M,22.0,3.3639143730886847,0.9174311926605505
MAVERICK,3396.0,132.0,212.0,61.0,45.0,0.0,345.0,0.0,0.0,True,UTSA,345.0,10.159010600706713,3.8869257950530036
MCCULLOCH,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
MCCULLOCH COU,91.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,Texas Tech,7.0,7.6923076923076925,0.0
MCLENNAN,10456.0,151.0,197.0,366.0,152.0,7.0,10.0,263.0,7.0,True,Texas A&M,366.0,3.500382555470543,1.4441469013006887
MCMULLEN,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
MEDINA,1863.0,91.0,21.0,110.0,71.0,0.0,219.0,0.0,0.0,True,UTSA,219.0,11.755233494363928,4.884594739667204
MENARD,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
MIDLAND,4221.0,68.0,88.0,146.0,407.0,0.0,21.0,45.0,0.0,True,Texas Tech,407.0,9.642264866145462,1.610992655768775
MILAM,742.0,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,38.0,5.121293800539084,0.6738544474393532
MILLS,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
MITCHELL,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
MONTAGUE,431.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,True,Texas A&M,5.0,1.160092807424594,0.0
MONTGOMERY,10757.0,542.0,434.0,1021.0,284.0,196.0,117.0,106.0,281.0,True,Texas A&M,1021.0,9.491493910941712,5.038579529608627
MONTGOMERY CO,9422.0,435.0,436.0,869.0,284.0,133.0,155.0,104.0,295.0,True,Texas A&M,869.0,9.22309488431331,4.616854171088941
MOORE,870.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,True,Texas Tech,29.0,3.3333333333333335,0.0
MORRIS,345.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,True,Stephen F. Austin,9.0,2.608695652173913,1.4492753623188406
NACOGDOCHES,887.0,11.0,8.0,31.0,0.0,338.0,0.0,5.0,0.0,True,Stephen F. Austin,338.0,38.10597519729425,1.2401352874859075
NACOGDOCHES C,876.0,0.0,19.0,34.0,0.0,254.0,0.0,7.0,0.0,True,Stephen F. Austin,254.0,28.99543378995434,0.0
NAVARRO,1813.0,10.0,26.0,38.0,0.0,0.0,0.0,27.0,0.0,True,Texas A&M,38.0,2.095973524544953,0.5515719801434087
NEWTON,233.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,10.0,True,Stephen F. Austin,19.0,8.15450643776824,0.0
NOLAN,440.0,0.0,0.0,5.0,33.0,0.0,0.0,0.0,0.0,True,Texas Tech,33.0,7.5,0.0
NUECES,11131.0,319.0,348.0,436.0,88.0,0.0,544.0,24.0,62.0,True,UTSA,544.0,4.887251819243554,2.8658700925343634
OCHILTREE,212.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,True,Texas Tech,25.0,11.79245283018868,0.0
OCHILTREE COU,205.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,True,Texas Tech,25.0,12.195121951219512,0.0
OLDHAM,201.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,True,Texas Tech,17.0,8.45771144278607,0.0
ORANGE,2535.0,35.0,10.0,60.0,0.0,18.0,0.0,0.0,0.0,True,Texas A&M,60.0,2.366863905325444,1.3806706114398422
PALO PINTO,236.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,True,Texas Tech,7.0,2.9661016949152543,0.0
PALO PINTO CO,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
PANOLA,932.0,0.0,0.0,29.0,5.0,40.0,0.0,0.0,0.0,True,Stephen F. Austin,40.0,4.291845493562231,0.0
PARKER,4257.0,58.0,78.0,235.0,300.0,12.0,0.0,114.0,0.0,True,Texas Tech,300.0,7.047216349541931,1.3624618275781066
PARMER,333.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,True,Texas Tech,13.0,3.903903903903904,0.0
PECOS,331.0,0.0,0.0,0.0,19.0,0.0,27.0,0.0,0.0,True,UTSA,27.0,8.157099697885197,0.0
POLK,853.0,5.0,11.0,49.0,0.0,53.0,0.0,0.0,0.0,True,Stephen F. Austin,53.0,6.213364595545135,0.5861664712778429
POTTER,6744.0,14.0,107.0,107.0,381.0,0.0,0.0,51.0,0.0,True,Texas Tech,381.0,5.649466192170818,0.20759193357058123
PRESIDIO,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
RAINS,253.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,True,UNT,9.0,3.557312252964427,0.0
RANDALL,2084.0,13.0,13.0,36.0,218.0,0.0,0.0,18.0,0.0,True,Texas Tech,218.0,10.460652591170826,0.6238003838771593
REAGAN,114.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,4.385964912280701,0.0
REAL,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
RED RIVER,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
RED RIVER COU,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
REEVES,335.0,5.0,0.0,0.0,32.0,0.0,5.0,0.0,0.0,True,Texas Tech,32.0,9.55223880597015,1.4925373134328357
REFUGIO,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0
